date	stringency_avg	stringency_stddv
2020-11-16	54.06225274725273	17.471546818236593
2020-11-17	54.13357142857141	17.447097774741266
2020-11-18	54.12593406593405	17.444211482248512
2020-11-19	54.171758241758226	17.45001077447991
2020-11-20	54.324340659340656	17.578441383932386
2020-11-21	54.40582417582416	17.567100248302822
2020-11-22	54.37027472527471	17.591698011718904
2020-11-23	54.39571428571428	17.57502830991152
2020-11-24	54.22269230769229	17.86261692504265
2020-11-25	54.28884615384613	17.90100651871075
2020-11-26	54.314285714285695	17.907274054144466
2020-11-27	54.45675824175823	17.93548989386021
2020-11-28	54.66027472527472	18.035102781578715
2020-11-29	54.59923076923076	18.07372455219189
2020-11-30	54.78236263736263	18.03374908210731
2020-12-01	54.482307692307685	18.072842389541094
2020-12-02	54.56368131868132	17.875527569793345
2020-12-03	54.65527472527473	17.85285050288531
2020-12-04	54.75192307692308	17.83146444697555
2020-12-05	54.75703296703296	17.80706801852836
2020-12-06	54.75703296703296	17.80706801852836
2020-12-07	54.80285714285713	17.62468812198316
2020-12-08	54.81560439560441	17.580839139656735
2020-12-09	54.76467032967034	17.528072794244334
2020-12-10	54.779890109890125	17.507334632147465
2020-12-11	54.82818681318682	17.54961956033103
2020-12-12	54.88664835164837	17.481484405170274
2020-12-13	54.94263736263738	17.508997048937523
2020-12-14	55.04686813186812	17.6571258713743
2020-12-15	54.858846153846144	17.874112266850616
2020-12-16	55.05714285714284	17.938370580670977
2020-12-17	55.011373626373604	17.9011248275401
2020-12-18	55.22499999999999	17.80080016567968
2020-12-19	55.2020879120879	17.872827679664923
2020-12-20	55.334450549450544	17.948567957669244
2020-12-21	55.74153846153845	18.07846955274145
2020-12-22	55.86615384615382	18.208996826483354
2020-12-23	56.06956043956041	18.41133954883812
2020-12-24	56.16609890109887	18.293005618586776
2020-12-25	56.242417582417545	18.27601739268468
2020-12-26	56.38236263736262	18.496300533591402
2020-12-27	56.48417582417581	18.610130206389105
2020-12-28	56.423021978021964	18.58105839228592
2020-12-29	56.21686813186812	18.566734981781522
2020-12-30	56.318571428571424	18.623281309973073
2020-12-31	56.69	18.87327490115336
2021-01-01	56.66978021978023	18.885459752454707
2021-01-02	56.707857142857144	18.89590426932292
2021-01-03	56.84274725274726	18.873078306420894
2021-01-04	56.85785714285715	18.885778337948935
2021-01-05	56.92906593406593	18.95034398209195
2021-01-06	57.18851648351648	18.79964669697404
2021-01-07	57.432637362637344	18.794115886239968
2021-01-08	57.534395604395584	18.80673731912981
2021-01-09	57.59543956043954	18.921645537894733
2021-01-10	57.62593406593404	18.99281136293888
2021-01-11	57.22670329670328	18.74327791912944
2021-01-12	56.98494505494504	18.986137995548017
2021-01-13	57.07659340659339	18.990805393506157
2021-01-14	57.28769230769229	19.17265713164827
2021-01-15	57.41489010989009	19.205139643444095
2021-01-16	57.46576923076921	19.28434049026691
2021-01-17	57.47593406593405	19.280889843015803
2021-01-18	57.3663736263736	19.46667044663739
2021-01-19	57.4885714285714	19.265710476309614
2021-01-20	57.57499999999997	19.26133642933314
2021-01-21	57.56483516483513	19.21325325906587
2021-01-22	57.661483516483486	19.33600216351122
2021-01-23	57.671703296703264	19.553427985902605
2021-01-24	57.64120879120877	19.5567050324342
2021-01-25	57.54972527472525	19.271643703208795
2021-01-26	57.58802197802196	19.16639674584916
2021-01-27	57.64390109890108	19.195841000188146
2021-01-28	57.59813186813185	19.241556213598535
2021-01-29	57.572747252747234	19.36778871490882
2021-01-30	57.62873626373624	19.3758041321027
2021-01-31	57.74576923076922	19.451452987100545
2021-02-01	57.1045604395604	19.52770783165384
2021-02-02	56.93159340659337	19.424197020176607
